mandate_id,customer_id,merchant_name,amount,frequency,due_day_of_month,status
MNDT00208,CUST0119,Zomato Gold,15338,monthly,5,active
MNDT00209,CUST0119,Health Insurance,1850,monthly,19,active
MNDT00210,CUST0119,Netflix,199,monthly,17,paused
MNDT00211,CUST0120,Netflix,199,monthly,5,revoked
MNDT00212,CUST0120,LIC Premium,2499,monthly,12,active
MNDT00213,CUST0121,Personal Loan EMI,8500,monthly,7,paused
MNDT00214,CUST0121,SIP - Mutual Fund,5000,monthly,22,active
MNDT00215,CUST0121,Health Insurance,1850,monthly,23,paused
MNDT00216,CUST0122,Netflix,199,monthly,28,active
MNDT00217,CUST0123,LIC Premium,2499,monthly,6,active
MNDT00218,CUST0123,Health Insurance,1850,monthly,23,revoked
MNDT00219,CUST0124,Zomato Gold,299,monthly,13,active
MNDT00220,CUST0124,Health Insurance,1850,monthly,22,active
MNDT00221,CUST0124,Personal Loan EMI,8500,monthly,3,active
MNDT00222,CUST0125,SIP - Mutual Fund,5000,monthly,14,active
MNDT00223,CUST0125,Health Insurance,1850,monthly,20,paused
MNDT00224,CUST0126,Health Insurance,1850,monthly,14,active
MNDT00225,CUST0127,Jio Fiber,999,monthly,14,active
MNDT00226,CUST0127,Spotify Premium,119,monthly,2,active
MNDT00227,CUST0127,Cult.fit Gym,1499,monthly,1,active
MNDT00228,CUST0128,LIC Premium,2499,monthly,1,active
MNDT00229,CUST0129,Spotify Premium,119,monthly,17,active
MNDT00230,CUST0130,SIP - Mutual Fund,5000,monthly,7,active
MNDT00231,CUST0130,LIC Premium,2499,monthly,9,active
MNDT00232,CUST0130,Zomato Gold,299,monthly,8,active
MNDT00233,CUST0131,Bike Loan EMI,3200,monthly,7,active
MNDT00234,CUST0132,Health Insurance,1850,monthly,25,active
MNDT00235,CUST0132,LIC Premium,2499,monthly,23,active
MNDT00236,CUST0132,Zomato Gold,299,monthly,28,paused
MNDT00237,CUST0133,Cult.fit Gym,1499,monthly,27,active
MNDT00238,CUST0133,Spotify Premium,119,monthly,8,active
MNDT00239,CUST0134,Personal Loan EMI,8500,monthly,2,active
MNDT00240,CUST0135,Health Insurance,1850,monthly,16,active
MNDT00241,CUST0136,Health Insurance,1850,monthly,3,active
MNDT00242,CUST0136,LIC Premium,2499,monthly,24,active
MNDT00243,CUST0136,Cult.fit Gym,1499,monthly,4,active
MNDT00244,CUST0137,Zomato Gold,299,monthly,14,revoked
MNDT00245,CUST0137,Netflix,199,monthly,28,active
MNDT00246,CUST0138,Spotify Premium,119,monthly,1,active
MNDT00247,CUST0138,SIP - Mutual Fund,5000,monthly,10,revoked
MNDT00248,CUST0139,Netflix,47293,monthly,19,active
MNDT00249,CUST0140,Personal Loan EMI,8500,monthly,22,active
MNDT00250,CUST0140,Health Insurance,1850,monthly,4,revoked
MNDT00251,CUST0141,Health Insurance,1850,monthly,10,active
MNDT00252,CUST0142,Health Insurance,1850,monthly,24,paused
MNDT00253,CUST0143,Cult.fit Gym,1499,monthly,7,active
MNDT00254,CUST0143,Health Insurance,1850,monthly,24,active
MNDT00255,CUST0144,Jio Fiber,999,monthly,3,active
MNDT00256,CUST0145,Cult.fit Gym,1499,monthly,1,active
MNDT00257,CUST0145,Bike Loan EMI,3200,monthly,13,active
MNDT00258,CUST0146,LIC Premium,2499,monthly,27,active
MNDT00259,CUST0147,Bike Loan EMI,3200,monthly,19,active
MNDT00260,CUST0147,Netflix,199,monthly,10,active
MNDT00261,CUST0148,Spotify Premium,119,monthly,3,active
MNDT00262,CUST0148,LIC Premium,2499,monthly,25,active
MNDT00263,CUST0149,Health Insurance,1850,monthly,14,active
MNDT00264,CUST0149,LIC Premium,2499,monthly,3,active
MNDT00265,CUST0150,Spotify Premium,119,monthly,24,active
MNDT00266,CUST0150,Jio Fiber,999,monthly,23,active
MNDT00267,CUST_GOLD001,Custom Mandate,2499,monthly,1,active
MNDT00268,CUST_GOLD002,Custom Mandate,2499,monthly,1,active
MNDT00269,CUST_GOLD003,Custom Mandate,2499,monthly,1,active
MNDT00270,CUST_GOLD004,Custom Mandate,999,monthly,6,active
MNDT00271,CUST_GOLD005,Custom Mandate,999,monthly,5,active
MNDT00272,CUST_GOLD006,Custom Mandate,999,monthly,7,active
MNDT00273,CUST_GOLD007,Custom Mandate,2499,monthly,12,active
MNDT00274,CUST_GOLD008,Custom Mandate,2499,monthly,11,active
MNDT00275,CUST_GOLD009,Custom Mandate,2499,monthly,10,active
MNDT00276,CUST_GOLD010,Custom Mandate,1499,monthly,25,active
MNDT00277,CUST_GOLD011,Custom Mandate,1499,monthly,25,active
MNDT00278,CUST_GOLD012,Custom Mandate,1499,monthly,6,active
MNDT00279,CUST_GOLD013,Custom Mandate,45956,monthly,13,active
MNDT00280,CUST_GOLD014,Custom Mandate,36275,monthly,11,active
MNDT00281,CUST_GOLD015,Custom Mandate,47091,monthly,12,active
MNDT00282,CUST_GOLD016,Custom Mandate,1999,monthly,15,revoked
MNDT00283,CUST_GOLD017,Custom Mandate,1999,monthly,14,revoked
MNDT00284,CUST_GOLD018,Custom Mandate,1999,monthly,15,revoked
